Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Jérôme Roussillon,79,LB,LM,175,80,France,Bundesliga,Union Berlin
Raúl Ruidíaz,79,ST,,169,66,Peru,MLS,Sounders FC
Mikkel Rygaard,79,CM,CAM,176,69,Denmark,Allsvenskan,BK Häcken
Lukáš Sadílek,79,CM,CDM,179,64,Czech Republic,Česká Liga,Sparta Praha
Osame Sahraoui,79,LM,LW,170,65,Norway,Ligue 1,LOSC Lille
Samu Sáiz,79,CAM,LM,174,68,Spain,Trendyol Süper Lig,Eyüpspor
Diadié Samassékou,79,CDM,CM,175,70,Mali,Bundesliga,TSG Hoffenheim
Francisco Moura,79,LB,LM,182,80,Portugal,Liga Portugal,FC Famalicão
Javi Sánchez,79,CB,,189,79,Spain,LaLiga,R. Valladolid CF
Manu Sánchez,79,LB,LM,171,66,Spain,LaLiga,D. Alavés
Nicola Sansone,79,CAM,ST,173,63,Italy,Serie A,Lecce
Saba Sazonov,79,CB,,194,84,Georgia,Serie A,Torino
Joe Scally,79,RB,CB,184,80,United States,Bundesliga,M'gladbach
András Schäfer,79,CM,CDM,178,72,Hungary,Bundesliga,Union Berlin
Bart Schenkeveld,79,CB,,184,81,Holland,Hellas Liga,Panathinaikos
Ivan Schranz,79,LM,"RM, ST, LW",185,73,Slovakia,Česká Liga,Slavia Praha
Stefan Schwab,79,CM,CDM,183,77,Austria,Hellas Liga,PAOK FC
Alex Scott,79,CM,"CAM, RM",178,68,England,Premier League,AFC Bournemouth
Alidu Seidu,79,CB,RB,173,68,Ghana,Ligue 1,Stade Rennais FC
Ryan Sessegnon,79,LB,,178,70,England,Premier League,Fulham
Petr Ševčík,79,CDM,CM,172,66,Czech Republic,Česká Liga,Slavia Praha
Leonardo Sigali,79,CB,,181,71,Argentina,Sudamericana,Racing Club
Danylo Sikan,79,ST,,187,75,Ukraine,Ukrayina Liha,Shakhtar Donetsk
Martín Silva,79,GK,,187,88,Uruguay,Libertadores,Libertad
Cesinha,79,ST,"LW, CAM",177,74,Brazil,K League 1,Daegu FC
Abdallah Sima,79,LM,LW,188,74,Senegal,Ligue 1,Stade Brestois 29
David Simão,79,CM,CDM,183,74,Portugal,Liga Portugal,Arouca
Ibrahima Sissoko,79,CM,CDM,193,90,Mali,Bundesliga,VfL Bochum 1848
Sivera,79,GK,,185,79,Spain,LaLiga,D. Alavés
Gijs Smal,79,LM,"LB, LW",183,83,Holland,Eredivisie,Feyenoord
Pablo Solari,79,ST,RM,178,78,Argentina,Libertadores,River Plate
Juan Soriano,79,GK,,185,78,Spain,LaLiga,CD Leganés
José Sosa,79,CM,"CAM, CDM",181,78,Argentina,Libertadores,Estudiantes
Ricardo Esgaio,79,RB,CB,172,73,Portugal,Liga Portugal,Sporting CP
John Souttar,79,CB,,186,75,Scotland,Scottish Prem,Rangers
Carl Starfelt,79,CB,,185,81,Sweden,LaLiga,RC Celta
Niklas Stark,79,CB,,190,88,Germany,Bundesliga,SV Werder Bremen
Thomas Strakosha,79,GK,,193,84,Albania,Hellas Liga,AEK Athens
Luka Sučić,79,CAM,CM,185,77,Croatia,LaLiga,Real Sociedad
Tomáš Suslov,79,RM,"CAM, CM, RW",173,72,Slovakia,Serie A,Hellas Verona
Attila Szalai,79,CB,LB,192,83,Hungary,Bundesliga,TSG Hoffenheim
Damian Szymański,79,CDM,CM,185,81,Poland,Hellas Liga,AEK Athens
Flavien Tait,79,CM,CDM,176,73,France,Trendyol Süper Lig,Samsunspor
Matt Targett,79,LB,,183,70,England,Premier League,Newcastle United
Greg Taylor,79,LB,,171,68,Scotland,Scottish Prem,Celtic
Kenneth Taylor,79,CM,CAM,182,73,Holland,Eredivisie,Ajax
Nahuel Tenaglia,79,RB,CB,181,70,Argentina,LaLiga,D. Alavés
Arnau Tenas,79,GK,,185,85,Spain,Ligue 1,Paris SG
William Tesillo,79,CB,LB,184,62,Colombia,Liga Colombia,Atl. Nacional
Phillip Tietz,79,ST,,190,86,Germany,Bundesliga,FC Augsburg
Luis Henrique,79,LM,LW,181,78,Brazil,Ligue 1,OM
Pablo Torre,79,CAM,"LM, CM",173,63,Spain,LaLiga,FC Barcelona
Facundo Torres,79,RM,"LM, CAM, RW",178,71,Uruguay,MLS,Orlando City
Cenk Tosun,79,ST,LW,183,78,Turkey,Trendyol Süper Lig,Fenerbahçe
Stefano Turati,79,GK,,188,85,Italy,Serie A,Monza
Matt Turner,79,GK,,191,79,United States,Premier League,Crystal Palace
Ayase Ueda,79,ST,CAM,182,76,Japan,Eredivisie,Feyenoord
Sven Ulreich,79,GK,,192,87,Germany,Bundesliga,FC Bayern München
Ricky van Wolfswinkel,79,ST,,185,68,Holland,Eredivisie,FC Twente
Vladyslav Vanat,79,ST,,182,69,Ukraine,Ukrayina Liha,Dynamo Kyiv
Nuno Tavares,79,LB,LM,183,75,Portugal,Serie A,Lazio
Johan Vásquez,79,CB,,185,72,Mexico,Serie A,Genoa
Yorbe Vertessen,79,ST,"LW, CAM",176,71,Belgium,Bundesliga,Union Berlin
Arturo Vidal,79,CM,CAM,180,78,Chile,Libertadores,Colo-Colo
Tonny Vilhena,79,CM,CDM,175,70,Holland,Hellas Liga,Panathinaikos
Iván Villar,79,GK,,189,76,Spain,LaLiga,RC Celta
Odysseas Vlachodimos,79,GK,,190,81,Greece,Premier League,Newcastle United
Timothy Weah,79,RM,"RB, RW",182,66,United States,Serie A,Juventus
Ashley Westwood,79,CDM,CM,175,73,England,MLS,Charlotte FC
Silvan Widmer,79,RB,RM,183,80,Switzerland,Bundesliga,1. FSV Mainz 05
Christopher Wooh,79,CB,,191,92,Cameroon,Ligue 1,Stade Rennais FC
Roman Yaremchuk,79,ST,,193,83,Ukraine,Hellas Liga,Olympiacos FC
Rıdvan Yılmaz,79,LB,,174,60,Turkey,Scottish Prem,Rangers
Okay Yokuşlu,79,CDM,CM,191,79,Turkey,Trendyol Süper Lig,Trabzonspor
Christos Zafeiris,79,CM,CDM,173,75,Norway,Česká Liga,Slavia Praha
Arsen Zakharyan,79,LM,"RM, CM, LW",182,73,Russia,LaLiga,Real Sociedad
Fernando Zampedri,79,ST,,185,83,Argentina,Sudamericana,Uni. Católica
Cédric Zesiger,79,CB,,194,92,Switzerland,Bundesliga,VfL Wolfsburg
Fernando Zuqui,79,CM,CDM,174,67,Argentina,Sudamericana,Uni. Católica
Max Aarons,78,RB,,171,69,England,Premier League,AFC Bournemouth
Rodrigo Abascal,78,CB,,186,82,Uruguay,Liga Portugal,Boavista FC
Himad Abdelli,78,CAM,"CM, LM",185,81,Algeria,Ligue 1,Angers SCO
Aguado,78,CM,CDM,175,71,Spain,LaLiga,RCD Espanyol
Emre Akbaba,78,CAM,CM,178,65,Turkey,Trendyol Süper Lig,Eyüpspor
Ilias,78,RW,"RM, LW",175,70,Morocco,LaLiga,Villarreal CF
Jean-Daniel Akpa Akpro,78,CM,CDM,180,70,Côte d'Ivoire,Serie A,Lazio
Aleñá,78,CM,"RM, CAM",180,73,Spain,LaLiga,Getafe CF
Nani,78,LM,"LW, ST",177,72,Portugal,Liga Portugal,Estrela Amadora
Agustín Almendra,78,CM,CDM,182,80,Argentina,Sudamericana,Racing Club
Selim Amallah,78,CAM,"CM, LM",186,81,Morocco,LaLiga,R. Valladolid CF
Zeki Amdouni,78,ST,CAM,185,79,Switzerland,Liga Portugal,SL Benfica
Alex Arce,78,ST,,187,80,Paraguay,Libertadores,LDU Quito
Areso,78,RB,RM,182,81,Spain,LaLiga,CA Osasuna
Joe Aribo,78,CM,,183,76,Nigeria,Premier League,Southampton
Stuart Armstrong,78,CM,,183,75,Scotland,MLS,Whitecaps FC
Adrián Arregui,78,CM,CDM,175,74,Argentina,Libertadores,Alianza Lima
Noah Atubolu,78,GK,,190,99,Germany,Bundesliga,SC Freiburg
Oğuz Aydın,78,RM,"LM, RW",177,76,Turkey,Trendyol Süper Lig,Fenerbahçe
Tiago Tomás,78,ST,RW,180,78,Portugal,Bundesliga,VfL Wolfsburg
Milan Badelj,78,CDM,CM,186,80,Croatia,Serie A,Genoa
Mama Baldé,78,ST,LW,176,69,Guinea-Bissau,Ligue 1,Stade Brestois 29
Carlos Baleba,78,CDM,CM,179,75,Cameroon,Premier League,Brighton
Leon Balogun,78,CB,RB,190,88,Nigeria,Scottish Prem,Rangers
Valentín Barco,78,LB,LM,170,66,Argentina,LaLiga,Sevilla FC
Mohamed Bayo,78,ST,,188,76,Guinea,Ligue 1,LOSC Lille
Gavin Bazunu,78,GK,,189,78,Republic of Ireland,Premier League,Southampton
Thomas Beelen,78,CB,CDM,190,78,Holland,Eredivisie,Feyenoord
Kevin Behrens,78,ST,,185,85,Germany,Bundesliga,VfL Wolfsburg
Vid Belec,78,GK,,193,84,Slovenia,Liga Cyprus,APOEL FC
Eliesse Ben Seghir,78,CAM,"ST, LM",178,72,Morocco,Ligue 1,AS Monaco
Gastón Benavídez,78,RB,CB,175,71,Argentina,Libertadores,Talleres
Dimitry Bertaud,78,GK,,180,85,Congo DR,Ligue 1,Montpellier
Leonardo Bittencourt,78,CAM,CM,171,63,Germany,Bundesliga,SV Werder Bremen
Fredrik Andre Bjørkan,78,LB,,180,73,Norway,Eliteserien,FK Bodø/Glimt
Darijan Bojanić,78,CM,CDM,182,74,Sweden,K League 1,Ulsan Hyundai
Yoan Bonny,78,ST,,189,86,France,Serie A,Parma
Ângelo,78,RM,"LM, RW",180,78,Brazil,Premier League,Chelsea
Jan Bořil,78,CB,LB,175,75,Czech Republic,Česká Liga,Slavia Praha
Darko Brašanac,78,CM,"CDM, CAM",178,73,Serbia,LaLiga,CD Leganés
Ben Brereton Díaz,78,LW,"ST, LM",188,75,Chile,Premier League,Southampton
Armando Broja,78,ST,,191,83,Albania,Premier League,Everton
Jorge Broun,78,GK,,190,92,Argentina,Libertadores,Rosario Central
Facundo Buonanotte,78,RM,"CAM, RW",174,66,Argentina,Premier League,Leicester City
Gianluca Busio,78,CM,CDM,170,61,United States,Serie A,Venezia
Nahuel Bustos,78,ST,LM,176,64,Argentina,Libertadores,San Lorenzo
Javier Cabrera,78,RM,"RW, LM",168,62,Uruguay,Libertadores,Peñarol
Juan José Cáceres,78,RB,CB,173,62,Paraguay,Sudamericana,Lanús
Mathieu Cafaro,78,LM,"RM, LW",178,74,France,Ligue 1,AS Saint-Étienne
Jens-Lys Cajuste,78,CDM,CM,188,77,Sweden,Premier League,Ipswich
Luca Caldirola,78,CB,,186,79,Italy,Serie A,Monza
Calero,78,CB,"CDM, RB",183,71,Spain,LaLiga,RCD Espanyol
Alexander Callens,78,CB,,186,78,Peru,Hellas Liga,AEK Athens
Lamine Camara,78,CM,CAM,173,65,Senegal,Ligue 1,AS Monaco
Sergio Camello,78,ST,,177,69,Spain,LaLiga,Rayo Vallecano
Jorman Campuzano,78,CDM,CM,175,69,Colombia,Liga Colombia,Atl. Nacional
Sergi Canós,78,LM,"RM, LW",175,66,Spain,LaLiga,Valencia CF
Edwin Cardona,78,CAM,"LW, LM",183,92,Colombia,Liga Colombia,Atl. Nacional
Irvin Cardona,78,ST,"RM, LM",185,75,France,LaLiga,RCD Espanyol
Julián Carranza,78,ST,,182,75,Argentina,Eredivisie,Feyenoord
Guido Carrillo,78,ST,,187,87,Argentina,Libertadores,Estudiantes
Federico Carrizo,78,CAM,"LW, RW",169,62,Argentina,Libertadores,Cerro Porteño
Wanderson,78,LB,LM,172,62,Brazil,K League 1,Pohang Steelers
Cristian Cásseres Jr,78,CDM,CM,175,68,Venezuela,Ligue 1,Toulouse FC
Santiago Castro,78,ST,RW,182,76,Argentina,Serie A,Bologna
Adam Gnezda Čerin,78,CM,CDM,180,77,Slovenia,Hellas Liga,Panathinaikos
Diego Chará,78,CDM,CM,172,68,Colombia,MLS,Portland Timbers
Oliver Christensen,78,GK,,190,82,Denmark,Serie A,Fiorentina
Alessandro Circati,78,CB,,190,84,Australia,Serie A,Parma
Elias Cobbaut,78,CB,,188,78,Belgium,Serie A,Parma
Lorenzo Colombo,78,ST,,183,74,Italy,Serie A,Empoli
Nazareno Colombo,78,CB,,182,83,Argentina,Sudamericana,Racing Club
Eray Cömert,78,CB,,183,80,Switzerland,LaLiga,R. Valladolid CF
Diego Conde,78,GK,,187,83,Spain,LaLiga,Villarreal CF
Janner Corozo,78,RM,"RW, LM",176,63,Ecuador,Libertadores,Barcelona SC
Nicolas Cozza,78,LB,CB,178,72,France,Ligue 1,FC Nantes
Maxime Crépeau,78,GK,,180,88,Canada,MLS,Portland Timbers
Miguel Crespo,78,CM,CDM,186,73,Portugal,Trendyol Süper Lig,Başakşehir
Pejiño,78,RM,"LM, RW",177,67,Spain,LaLiga,UD Las Palmas
Leonardo Lelo,78,LM,"LB, LW",175,70,Portugal,Liga Portugal,Casa Pia AC
Danny da Costa,78,RB,RM,187,87,Germany,Bundesliga,1. FSV Mainz 05
Abner Vinícius,78,LB,,182,74,Brazil,Ligue 1,Olympique Lyon
Busanello,78,LB,,180,75,Brazil,Allsvenskan,Malmö FF
Mikkel Damsgaard,78,CM,LW,180,70,Denmark,Premier League,Brentford
Marcus Danielson,78,CB,,192,80,Sweden,Allsvenskan,Djurgårdens IF
Josh Dasilva,78,CM,,184,75,England,Premier League,Brentford
Paweł Dawidowicz,78,CB,,189,80,Poland,Serie A,Hellas Verona
Miguel,78,ST,RM,182,83,Spain,LaLiga,CD Leganés
Jeffrey de Lange,78,GK,,191,78,Holland,Ligue 1,OM
Cláudio Ramos,78,GK,,183,83,Portugal,Liga Portugal,FC Porto
Thibault De Smet,78,LB,,183,65,Belgium,Ligue 1,Stade de Reims
Mikkel Desler,78,RB,,184,73,Denmark,MLS,Austin FC
Cyriel Dessers,78,ST,,185,87,Nigeria,Scottish Prem,Rangers
Ersin Destanoğlu,78,GK,,195,88,Turkey,Trendyol Süper Lig,Beşiktaş
Habib Diarra,78,CM,"CDM, LM",179,74,Senegal,Ligue 1,Strasbourg
Sinaly Diomandé,78,CB,,184,74,Côte d'Ivoire,Ligue 1,AJ Auxerre
Matt Doherty,78,RB,RM,185,80,Republic of Ireland,Premier League,Wolves
Nery Domínguez,78,CB,CDM,183,71,Argentina,Sudamericana,Lanús
Cecilio Domínguez,78,LM,"LW, ST",179,74,Paraguay,Libertadores,Cerro Porteño
Tomás Händel,78,CDM,CM,180,73,Portugal,Liga Portugal,Vitória SC
Juninho Vieira,78,ST,LW,179,74,Brazil,Liga Azerbaijan,Qarabağ FK
Carlos Miguel,78,GK,,204,96,Brazil,Premier League,Nott'm Forest
Kamory Doumbia,78,CAM,CM,170,53,Mali,Ligue 1,Stade Brestois 29
Patrick Drewes,78,GK,,194,90,Germany,Bundesliga,VfL Bochum 1848
Joël Drommel,78,GK,,193,90,Holland,Eredivisie,PSV Eindhoven
Sampson Dweh,78,CB,,180,75,Liberia,Česká Liga,Viktoria Plzeň
Youssef El Arabi,78,ST,,182,84,Morocco,Liga Cyprus,APOEL FC
Omar El Hilali,78,RB,CB,183,75,Morocco,LaLiga,RCD Espanyol
Emanuel Emegha,78,ST,,195,82,Holland,Ligue 1,Strasbourg
Julio César Enciso,78,CAM,"LM, RM",173,64,Paraguay,Premier League,Brighton
Samuel Essende,78,ST,,192,87,France,Bundesliga,FC Augsburg
Kiko Femenía,78,RB,RM,174,61,Spain,LaLiga,Villarreal CF
Roger Fernandes,78,LM,"RM, LW",170,63,Portugal,Liga Portugal,SC Braga
Edimilson Fernandes,78,CB,RB,187,77,Switzerland,Ligue 1,Stade Brestois 29
Federico Fernández,78,CB,,189,83,Argentina,Libertadores,Estudiantes
Wes Foderingham,78,GK,,185,75,England,Premier League,West Ham United
Fraser Forster,78,GK,,201,93,England,Premier League,Tottenham Hotspur
Francés,78,CB,,180,70,Spain,LaLiga,Girona FC
Nicolás Freire,78,CB,,186,80,Argentina,MLS,Inter Miami CF
Fresneda,78,RB,"CB, LB",183,74,Spain,Liga Portugal,Sporting CP
Marvin Friedrich,78,CB,,193,84,Germany,Bundesliga,M'gladbach
Kanya Fujimoto,78,CAM,,176,69,Japan,Liga Portugal,Gil Vicente
Manu Fuster,78,LM,"RM, CM, LW",169,65,Spain,LaLiga,UD Las Palmas
Gianluca Gaetano,78,CAM,CM,175,70,Italy,Serie A,Cagliari
Gauthier Gallon,78,GK,,187,80,France,Ligue 1,Stade Rennais FC
Javier García,78,GK,,182,78,Argentina,Sudamericana,Boca Juniors
Federico Gattoni,78,CB,,183,79,Argentina,Libertadores,River Plate
Valentin Gendrey,78,RB,,179,69,France,Bundesliga,TSG Hoffenheim
Faouzi Ghoulam,78,LB,CB,188,80,Algeria,Trendyol Süper Lig,Hatayspor
Benedikt Gimber,78,CB,CDM,187,84,Germany,Bundesliga,Heidenheim
Sergi Gómez,78,CB,,185,80,Spain,LaLiga,RCD Espanyol
Pedro Malheiro,78,RB,,179,72,Portugal,Trendyol Süper Lig,Trabzonspor
Derlis González,78,ST,"LM, RM",175,75,Paraguay,Sudamericana,Olimpia
Francisco González Metilli,78,CAM,"CM, RM",179,72,Argentina,Sudamericana,Belgrano
José Gragera,78,CDM,"CM, CB",187,81,Spain,LaLiga,RCD Espanyol
Archie Gray,78,CDM,RB,187,70,England,Premier League,Tottenham Hotspur
Hugo Guillamón,78,CDM,"CM, CB",178,62,Spain,LaLiga,Valencia CF
Manuel Gulde,78,CB,,184,82,Germany,Bundesliga,SC Freiburg
Gumbau,78,CM,"CDM, RM",187,77,Spain,LaLiga,Rayo Vallecano
Günay Güvenç,78,GK,,187,85,Turkey,Trendyol Süper Lig,Galatasaray
Lewis Hall,78,LB,,179,71,England,Premier League,Newcastle United
Abdou Harroui,78,CM,CDM,182,76,Morocco,Serie A,Hellas Verona
Jorrel Hato,78,CB,LB,182,76,Holland,Eredivisie,Ajax
Lukáš Hejda,78,CB,,189,87,Czech Republic,Česká Liga,Viktoria Plzeň
Junior Hernández,78,LB,,172,69,Colombia,Sudamericana,Deportes Tolima
Philipp Hofmann,78,ST,,195,89,Germany,Bundesliga,VfL Bochum 1848
Casper Højer,78,LB,,184,75,Denmark,Trendyol Süper Lig,Çaykur Rizespor
Rob Holding,78,CB,,189,75,England,Premier League,Crystal Palace
Lucas Höler,78,ST,CAM,184,83,Germany,Bundesliga,SC Freiburg
Adam Idah,78,ST,,190,83,Republic of Ireland,Scottish Prem,Celtic
Samuel Iling-Junior,78,LM,LW,182,75,England,Serie A,Bologna
Pontus Jansson,78,CB,,194,86,Sweden,Allsvenskan,Malmö FF
Ben Johnson,78,RB,LB,180,69,England,Premier League,Ipswich
Paul Joly,78,RB,,182,75,France,Ligue 1,AJ Auxerre
Dejan Joveljić,78,ST,,181,75,Serbia,MLS,LA Galaxy
Christopher Jullien,78,CB,,196,88,France,Ligue 1,Montpellier
Anthony Jung,78,CB,LB,185,81,Germany,Bundesliga,SV Werder Bremen
Matěj Jurásek,78,RW,"LW, RM",181,73,Czech Republic,Česká Liga,Slavia Praha
David Jurásek,78,LB,LM,183,76,Czech Republic,Bundesliga,TSG Hoffenheim
Issa Kaboré,78,RB,,180,72,Burkina Faso,Liga Portugal,SL Benfica
Hassane Kamara,78,LB,LM,168,67,Côte d'Ivoire,Serie A,Udinese
Jakub Kamiński,78,LM,LW,179,68,Poland,Bundesliga,VfL Wolfsburg
Grigoris Kastanos,78,CAM,"CM, RM",179,71,Cyprus,Serie A,Hellas Verona
Tomasz Kędziora,78,CB,RB,183,76,Poland,Hellas Liga,PAOK FC
Reda Khadra,78,CAM,LM,180,72,Germany,Ligue 1,Stade de Reims
Hervé Koffi,78,GK,,186,82,Burkina Faso,Ligue 1,RC Lens
Boubakar Kouyaté,78,CB,,192,78,Mali,Ligue 1,Montpellier
Vladan Kovacević,78,GK,,192,81,Serbia,Liga Portugal,Sporting CP
Emil Krafth,78,RB,CB,184,83,Sweden,Premier League,Newcastle United
Elias Jelert,78,RB,LB,178,70,Denmark,Trendyol Süper Lig,Galatasaray
Nicolas Kühn,78,RW,RM,176,69,Germany,Scottish Prem,Celtic
Bas Kuipers,78,LB,,180,73,Holland,Eredivisie,FC Twente
Daniel-Kofi Kyereh,78,CAM,ST,179,79,Ghana,Bundesliga,SC Freiburg
Nediljko Labrović,78,GK,,196,91,Croatia,Bundesliga,FC Augsburg
Stefan Lainer,78,RB,RM,175,73,Austria,Bundesliga,M'gladbach
Carlos Lampe,78,GK,,192,84,Bolivia,Libertadores,Bolívar
Gianluca Lapadula,78,ST,,178,71,Peru,Serie A,Cagliari
Jacob Bruun Larsen,78,LM,"RM, ST, LW",183,77,Denmark,Bundesliga,TSG Hoffenheim
Jens Stryger Larsen,78,RB,"LM, RM",180,82,Denmark,Allsvenskan,Malmö FF
Latasa,78,ST,,192,83,Spain,LaLiga,R. Valladolid CF
Valentino Lazaro,78,LM,"RM, LW",181,76,Austria,Serie A,Torino
Mathew Leckie,78,LM,"RM, CM, LW",181,78,Australia,A-League,Melbourne City
Tomás Araújo,78,CB,,187,81,Portugal,Liga Portugal,SL Benfica
Johann Lepenant,78,CDM,CM,176,71,France,Ligue 1,FC Nantes
Keane Lewis-Potter,78,LW,"ST, LM",170,67,England,Premier League,Brentford
Mateusz Lis,78,GK,,192,83,Poland,Trendyol Süper Lig,Göztepe
Nicolás Lodeiro,78,CAM,"CM, RM",170,69,Uruguay,MLS,Orlando City
Luciano Lollo,78,CB,,183,88,Argentina,Libertadores,Estudiantes
Ivi López,78,CAM,,174,70,Spain,PKO BP Ekstraklasa,Raków
Nahuel Losada,78,GK,,184,86,Argentina,Sudamericana,Lanús
Iker Losada,78,RM,"LM, CAM, RW",175,70,Spain,LaLiga,Real Betis
Sandi Lovrič,78,CDM,CM,180,75,Slovenia,Serie A,Udinese
Jeison Lucumí,78,LM,"RM, LW",177,63,Colombia,Sudamericana,Deportes Tolima
Gustav Ludwigson,78,LM,"LW, RW",182,75,Sweden,K League 1,Ulsan Hyundai
Massimo Luongo,78,CDM,,176,76,Australia,Premier League,Ipswich
Charalampos Lykogiannis,78,LB,LM,190,87,Greece,Serie A,Bologna
Antoine Makoumbou,78,CDM,CM,187,80,Congo,Serie A,Cagliari
Lennard Maloney,78,CDM,CM,187,88,United States,Bundesliga,Heidenheim
Aleš Mandous,78,GK,,188,85,Czech Republic,Česká Liga,Slavia Praha
Matías Mansilla,78,GK,,191,92,Argentina,Libertadores,Estudiantes
Braydon Manu,78,RM,"ST, RW",170,70,Ghana,Eredivisie,PEC Zwolle
Juan Carlos,78,GK,,186,85,Spain,LaLiga,Girona FC
Roger Martínez,78,ST,LM,180,89,Colombia,Sudamericana,Racing Club
Erhan Mašović,78,CB,CDM,189,82,Serbia,Bundesliga,VfL Bochum 1848
Mata,78,ST,LM,185,79,Spain,LaLiga,UD Las Palmas
Luca Mazzitelli,78,CM,CDM,187,76,Italy,Serie A,Como
Oli McBurnie,78,ST,,191,77,Scotland,LaLiga,UD Las Palmas
Gary Medel,78,CB,CDM,171,76,Chile,Sudamericana,Boca Juniors
Bamo Meïté,78,CB,,183,75,Côte d'Ivoire,Ligue 1,OM
Santiago Mele,78,GK,,184,79,Uruguay,Libertadores,Junior
Lorenzo Melgarejo,78,ST,LM,178,75,Paraguay,Libertadores,Libertad
Jubal,78,CB,,190,80,Brazil,Ligue 1,AJ Auxerre
João Mendes,78,LW,"CM, CAM, LM",183,76,Portugal,Liga Portugal,Vitória SC
Batista Mendy,78,CDM,"CM, CB",191,82,France,Trendyol Süper Lig,Trabzonspor
Max Meyer,78,CAM,CM,173,68,Germany,Liga Cyprus,APOEL FC
Matt Miazga,78,CB,,193,84,United States,MLS,FC Cincinnati
Fredrik Midtsjø,78,CM,CDM,175,68,Norway,Trendyol Süper Lig,Eyüpspor
Salvador Agra,78,RM,"RB, LM, RW",166,69,Portugal,Liga Portugal,Boavista FC
Pere Milla,78,ST,"LM, LB",184,72,Spain,LaLiga,RCD Espanyol
Alexandru Mitriță,78,LM,"LW, CAM",165,68,Romania,SUPERLIGA,Univ. Craiova
Filip Mladenović,78,LB,,180,64,Serbia,Hellas Liga,Panathinaikos
Jakub Moder,78,CM,"CDM, CAM",188,78,Poland,Premier League,Brighton
Florent Mollet,78,CAM,"CM, RM",174,68,France,Ligue 1,FC Nantes
Gonzalo Montes,78,CM,CDM,173,76,Uruguay,Libertadores,Huachipato
Emre Mor,78,RM,"LM, CAM, RW",169,60,Turkey,Trendyol Süper Lig,Fenerbahçe
Maxi Moralez,78,CAM,"CM, CDM",159,54,Argentina,MLS,New York City FC
Tete Morente,78,LM,"RM, LW",184,78,Spain,Serie A,Lecce
Lewis Morgan,78,ST,"LM, CAM",178,75,Scotland,MLS,Red Bulls
Gabriel Moscardo,78,CDM,CM,185,73,Brazil,Ligue 1,Stade de Reims
Andrés Mosquera,78,CB,RB,182,80,Colombia,Sudamericana,América de Cali
Stefan Mugoša,78,ST,,188,78,Montenegro,K League 1,Incheon United
Florent Muslija,78,CAM,"LM, CM",172,65,Kosovo,Bundesliga,SC Freiburg
Andrey Santos,78,CM,CDM,180,75,Brazil,Ligue 1,Strasbourg
Sebastian Nanasi,78,LM,"CAM, RM, LW",178,71,Sweden,Ligue 1,Strasbourg
Cyril Ngonge,78,RM,"CAM, ST, RW",179,67,Belgium,Serie A,SSC Napoli
Tanguy Nianzou,78,CB,,191,83,France,LaLiga,Sevilla FC
Moritz Nicolas,78,GK,,193,89,Germany,Bundesliga,M'gladbach
Justin Njinmah,78,ST,RM,184,75,Germany,Bundesliga,SV Werder Bremen
Niels Nkounkou,78,LB,LM,180,77,France,Bundesliga,Frankfurt
Andries Noppert,78,GK,,203,92,Holland,Eredivisie,sc Heerenveen
Obinna Nwobodo,78,CDM,CM,179,72,Nigeria,MLS,FC Cincinnati
Armando Obispo,78,CB,,185,79,Holland,Eredivisie,PSV Eindhoven
Jens Odgaard,78,ST,RW,188,80,Denmark,Serie A,Bologna
Wilson Odobert,78,LM,"RM, ST, LW",182,75,France,Premier League,Tottenham Hotspur
Chiedozie Ogbene,78,RB,RM,181,75,Republic of Ireland,Premier League,Ipswich
Darius Olaru,78,CM,CAM,177,71,Romania,SUPERLIGA,FCSB
Brian Oliván,78,LB,,177,73,Spain,LaLiga,RCD Espanyol
Jorge Fernandes,78,CB,,191,91,Portugal,Liga Portugal,Vitória SC
Gastón Olveira,78,GK,,191,80,Uruguay,Sudamericana,Olimpia
Samu,78,ST,,193,82,Spain,Liga Portugal,FC Porto
Karim Onisiwo,78,ST,,188,88,Austria,Bundesliga,1. FSV Mainz 05
Luca Orellano,78,LM,"RW, RM, LW",177,66,Argentina,MLS,FC Cincinnati
Divock Origi,78,ST,,189,88,Belgium,Serie A,AC Milan
Nicolás Oroz,78,CM,"RM, LM",171,71,Argentina,Sudamericana,Argentinos Jrs.
Richard Ortiz,78,CDM,CM,174,75,Paraguay,Sudamericana,Olimpia
Reece Oxford,78,CB,,193,86,England,Bundesliga,FC Augsburg
Pacheco,78,GK,,186,81,Spain,LaLiga,RCD Espanyol
Nicolas Pallois,78,CB,,189,89,France,Ligue 1,FC Nantes
Kevin Paredes,78,LM,"LB, LW",175,61,United States,Bundesliga,VfL Wolfsburg
Aleksandar Pavlović,78,CDM,CM,188,75,Germany,Bundesliga,FC Bayern München
Martín Payero,78,CM,CDM,182,78,Argentina,Serie A,Udinese
Marcus Holmgren Pedersen,78,RM,"LM, RB, RW",183,76,Norway,Serie A,Torino
Mads Pedersen,78,LB,LM,174,72,Denmark,Bundesliga,FC Augsburg
Iñaki Peña,78,GK,,184,78,Spain,LaLiga,FC Barcelona
Ricardo Pepi,78,ST,,185,74,United States,Eredivisie,PSV Eindhoven
Joaquín Pereyra,78,LM,"RM, LW",181,73,Argentina,MLS,Minnesota United
Mauricio Pereyra,78,CAM,CM,170,63,Uruguay,Libertadores,Nacional
