1,LaLiga
2,Premier League
3,Bundesliga
4,Ligue 1
5,Serie A
6,MLS
7,Liga Portugal
8,Libertadores
9,Trendyol Süper Lig
10,Eredivisie
11,Liga Hrvatska
12,Scottish Prem
13,Hellas Liga
14,Česká Liga
15,Sudamericana
16,Ukrayina Liha
17,Liga Colombia
18,Eliteserien
19,K League 1
20,PKO BP Ekstraklasa
21,A-League
22,Allsvenskan
23,Liga Cyprus
24,Liga Azerbaijan
25,SUPERLIGA
26,ISL
27,SSE Airtricity PD
28,Finnliiga
